Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
D20A,19,9,-68.42,36.2,amerw,5/21/2021
D23,8,6,-69.43,74.68,amere (grounded),5/21/2021
D26,19,2,-69.36,29.4,wedde (grounded),5/21/2021
D27,8,5,-66.64,59.49,amerw,5/21/2021
D28,29,19,-68.73,30.8,amerw,5/21/2021
A23A,40,34,-75.71,-40.18,belle,5/28/2021
A63,11,3,-67.61,-56.19,belle,5/28/2021
A64,11,8,-68.03,-60.77,belle,5/28/2021
A69A,10,9,-67.73,-60.73,belle,5/28/2021
A69B,10,7,-67.28,-60.43,belle,5/28/2021
A70,8,5,-68.92,-60.37,belle,5/28/2021
A71,8,3,-69.11,-60.66,belle,5/28/2021
A74,30,18,-75.27,-26.54,belle,5/28/2021
A76A,73,14,-75.1,-59.43,belle,5/28/2021
A76B,20,7,-75.09,-57.49,belle,5/28/2021
A76C,16,7,-75.57,-57.04,belle,5/28/2021
B09B,24,8,-66.27,143.4,wilke,5/28/2021
B09G,11,7,-68.2,41.81,amerw,5/28/2021
B09I,12,6,-66.54,-44.37,belle,5/28/2021
B15AB,11,4,-66.08,50.94,amerw (grounded),5/28/2021
B22A,38,24,-73.9,-109.37,amune (grounded),5/28/2021
B28,9,6,-74.66,-108.76,amune (grounded),5/28/2021
B29,11,5,-74.49,-108.9,amune (grounded),5/28/2021
B37,8,3,-72.4,-112.03,amune,5/28/2021
B38,6,4,-77.01,-155.06,rosse,5/28/2021
B39,8,4,-69.87,26.27,wedde,5/28/2021
B40,6,5,-65.63,132.17,wilke (grounded),5/28/2021
B42,12,4,-73.87,-134.82,amunw,5/28/2021
B45,7,6,-74.68,-109.34,amune (grounded),5/28/2021
B46,10,4,-72.13,-112.4,amune,5/28/2021
B47,12,5,-73.79,-133.82,amunw (grounded),5/28/2021
B50,15,6,-75,-148.11,amunw,5/28/2021
C15,12,8,-65.97,143.27,wilke,5/28/2021
C18B,19,4,-66.59,89.55,amere (grounded),5/28/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),5/28/2021
C24,11,2,-64.84,96.02,wilkw (grounded),5/28/2021
C29,5,5,-66.08,142.84,wilke,5/28/2021
C30,9,3,-64.78,96.3,wilkw (grounded),5/28/2021
C31,9,3,-64.68,96.51,wilkw (grounded),5/28/2021
C33,8,4,-65.43,126.62,wilke (grounded),5/28/2021
C35,7,5,-67.37,147.94,wilke,5/28/2021
C36,22,15,-67.94,147.48,wilke (grounded),5/28/2021
D15A,51,24,-66.64,81.91,amere (grounded),5/28/2021
D15B,33,12,-66.99,81.58,amere (grounded),5/28/2021
D20A,19,9,-68.42,36.18,amerw,5/28/2021
D23,8,6,-69.43,74.68,amere (grounded),5/28/2021
D26,19,2,-69.36,29.4,wedde (grounded),5/28/2021
D27,8,5,-66.37,58.53,amerw,5/28/2021
D28,29,19,-69.51,27.11,wedde,5/28/2021
A23A,40,34,-75.62,-39.93,belle,6/4/2021
A63,11,3,-66.89,-57.07,belle,6/4/2021
A64,11,8,-67.71,-61.2,belle,6/4/2021
A69A,10,9,-67.51,-61.04,belle,6/4/2021
A69B,10,7,-67.18,-60.5,belle,6/4/2021
A70,8,5,-68.52,-60.71,belle,6/4/2021
A71,7,3,-68.92,-60.25,belle,6/4/2021
A74,30,18,-75.26,-26.45,weddw,6/4/2021
A76A,73,14,-75.14,-59.14,belle,6/4/2021
A76B,20,7,-74.99,-57.26,belle,6/4/2021
A76C,16,7,-75.26,-56.45,belle,6/4/2021
B09B,24,8,-66.27,143.4,wilke,6/4/2021
B09G,11,7,-68.2,41.81,amerw,6/4/2021
B09I,12,6,-66.43,-45.2,belle,6/4/2021
B15AB,11,4,-66.08,50.94,amerw (grounded),6/4/2021
B22A,38,24,-73.9,-109.38,amune (grounded),6/4/2021
B28,9,6,-74.66,-108.76,amune (grounded),6/4/2021
B29,11,5,-74.49,-108.9,amune (grounded),6/4/2021
B37,8,3,-72.51,-112.14,amune,6/4/2021
B38,6,4,-77.01,-155.06,rosse (grounded),6/4/2021
B39,8,4,-70.08,23.35,wedde,6/4/2021
B40,6,5,-65.63,132.17,wilke (grounded),6/4/2021
B42,12,4,-73.9,-135.56,amunw,6/4/2021
B45,7,6,-74.68,-109.34,amune (grounded),6/4/2021
B46,10,4,-72.25,-112.59,amune,6/4/2021
B47,12,5,-73.79,-133.82,amunw (grounded),6/4/2021
B50,15,6,-75.25,-149.39,amunw,6/4/2021
C15,12,8,-65.97,143.27,wilke,6/4/2021
C18B,19,4,-66.59,89.55,amere (grounded),6/4/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),6/4/2021
C24,11,2,-64.84,96.02,wilkw (grounded),6/4/2021
C29,5,5,-66.08,142.83,wilke,6/4/2021
C30,9,3,-64.78,96.3,wilkw (grounded),6/4/2021
C31,9,3,-64.68,96.51,wilkw (grounded),6/4/2021
C33,8,4,-65.43,126.62,wilke (grounded),6/4/2021
C35,7,5,-67.33,147.86,wilke,6/4/2021
C36,22,15,-67.94,147.48,wilke (grounded),6/4/2021
D15A,51,24,-66.64,81.91,amere (grounded),6/4/2021
D15B,33,12,-66.99,81.58,amere (grounded),6/4/2021
D20A,19,9,-68.42,36.19,amerw,6/4/2021
D23,8,6,-69.43,74.68,amere (grounded),6/4/2021
D26,19,2,-69.4,29.32,wedde (grounded),6/4/2021
D27,8,5,-65.94,57.41,amerw,6/4/2021
D28,29,19,-69.82,24.73,wedde,6/4/2021
A23A,40,34,-75.6,-39.84,belle,6/11/2021
A63,11,3,-66.87,-57.19,belle,6/11/2021
A64,11,8,-67.69,-61.22,belle,6/11/2021
A69A,10,9,-67.5,-61.05,belle,6/11/2021
A69B,10,7,-67.18,-60.5,belle,6/11/2021
A70,8,5,-68.48,-60.71,belle,6/11/2021
A74,30,18,-75.25,-26.49,weddw,6/11/2021
A76A,73,14,-75.12,-58.55,belle,6/11/2021
A76B,20,7,-74.89,-57.58,belle,6/11/2021
A76C,16,7,-74.98,-56.38,belle,6/11/2021
B09B,24,8,-66.27,143.4,wilke,6/11/2021
B09G,11,7,-68.2,41.8,amerw,6/11/2021
B09I,12,6,-66.1,-45.19,belle,6/11/2021
B15AB,11,4,-66.08,50.94,amerw (grounded),6/11/2021
B22A,38,24,-73.9,-109.37,amune (grounded),6/11/2021
B28,9,6,-74.66,-108.76,amune (grounded),6/11/2021
B29,11,5,-74.49,-108.9,amune (grounded),6/11/2021
B37,8,3,-72.51,-112.14,amune,6/11/2021
B38,6,4,-77.01,-155.06,rosse (grounded),6/11/2021
B39,8,4,-69.56,17.69,wedde,6/11/2021
B40,6,5,-65.63,132.16,wilke (grounded),6/11/2021
B42,12,4,-74.05,-137,amunw,6/11/2021
B45,7,6,-74.68,-109.34,amune (grounded),6/11/2021
B46,10,4,-72.27,-112.73,amune,6/11/2021
B47,12,5,-73.79,-133.82,amunw (grounded),6/11/2021
B50,15,6,-75.46,-151.05,rosse,6/11/2021
C15,12,8,-65.97,143.27,wilke,6/11/2021
C18B,19,4,-66.59,89.55,amere (grounded),6/11/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),6/11/2021
C24,11,2,-64.84,96.02,wilkw (grounded),6/11/2021
C29,5,5,-66.08,142.83,wilke,6/11/2021
C30,9,3,-64.78,96.3,wilkw (grounded),6/11/2021
C31,9,3,-64.68,96.51,wilkw (grounded),6/11/2021
C33,8,4,-65.43,126.62,wilke (grounded),6/11/2021
C35,7,5,-67.32,147.93,wilke,6/11/2021
C36,22,15,-67.94,147.48,wilke (grounded),6/11/2021
D15A,51,24,-66.64,81.91,amere (grounded),6/11/2021
D15B,33,12,-66.99,81.58,amere (grounded),6/11/2021
D20A,19,9,-68.42,36.17,amerw,6/11/2021
D23,8,6,-69.43,74.68,amere (grounded),6/11/2021
D26,19,2,-69.36,29.4,wedde (grounded),6/11/2021
D27,8,5,-65.61,55.62,amerw,6/11/2021
D28,29,19,-69.69,20.78,wedde,6/11/2021
D29A,15,9,-69.77,21.67,wedde,6/11/2021
D29B,13,7,-69.96,22.16,wedde,6/11/2021
D29C,13,6,-69.77,22.15,wedde,6/11/2021
D30A,39,11,-69.46,18.59,wedde,6/11/2021
D30B,15,5,-69.79,19.7,wedde,6/11/2021
A23A,40,34,-75.56,-39.88,belle,6/18/2021
A63,11,3,-66.56,-56.8,belle,6/18/2021
A64,11,8,-67.67,-61.18,belle,6/18/2021
A69A,10,9,-67.5,-60.93,belle,6/18/2021
A69B,10,7,-67.19,-60.41,belle,6/18/2021
A70,8,5,-68.41,-60.66,belle,6/18/2021
A74,30,18,-75.25,-26.48,weddw,6/18/2021
A76A,73,14,-75.02,-58.85,belle,6/18/2021
A76B,20,7,-74.7,-57.8,belle,6/18/2021
A76C,16,7,-74.85,-56.83,belle,6/18/2021
B09B,24,8,-66.27,143.4,wilke,6/18/2021
B09G,11,7,-68.2,41.8,amerw,6/18/2021
B09I,12,6,-65.74,-45.37,belle,6/18/2021
B15AB,11,4,-66.08,50.94,amerw (grounded),6/18/2021
B22A,38,24,-73.9,-109.38,amune (grounded),6/18/2021
B28,9,6,-74.66,-108.76,amune (grounded),6/18/2021
B29,11,5,-74.49,-108.9,amune (grounded),6/18/2021
B37,8,3,-72.5,-112.44,amune,6/18/2021
B38,6,4,-77.01,-155.06,rosse (grounded),6/18/2021
B39,8,4,-69.43,16.41,wedde,6/18/2021
B40,6,5,-65.63,132.16,wilke (grounded),6/18/2021
B42,12,4,-74.23,-138.02,amunw,6/18/2021
B45,7,6,-74.68,-109.34,amune (grounded),6/18/2021
B46,10,4,-72.65,-114.28,amune,6/18/2021
B47,12,5,-73.79,-133.82,amunw (grounded),6/18/2021
B50,15,6,-75.58,-152.9,rosse,6/18/2021
C15,12,8,-65.97,143.27,wilke,6/18/2021
C18B,19,4,-66.59,89.55,amere (grounded),6/18/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),6/18/2021
C24,11,2,-64.84,96.02,wilkw (grounded),6/18/2021
C29,5,5,-66.08,142.83,wilke,6/18/2021
C30,9,3,-64.78,96.3,wilkw (grounded),6/18/2021
C31,9,3,-64.68,96.51,wilkw (grounded),6/18/2021
C33,8,4,-65.43,126.62,wilke (grounded),6/18/2021
C35,7,5,-67.35,147.87,wilke,6/18/2021
C36,22,15,-67.94,147.48,wilke (grounded),6/18/2021
D15A,51,24,-66.64,81.91,amere (grounded),6/18/2021
D15B,33,12,-66.99,81.58,amere (grounded),6/18/2021
D20A,19,9,-68.42,36.2,amerw,6/18/2021
D23,8,6,-69.43,74.68,amere (grounded),6/18/2021
D26,19,2,-69.4,29.32,wedde (grounded),6/18/2021
D27,8,5,-65.54,52.69,amerw,6/18/2021
D28,29,19,-69.33,17.66,wedde,6/18/2021
D29A,15,9,-69.68,19.13,wedde,6/18/2021
D29B,13,7,-69.79,19.79,wedde,6/18/2021
D29C,13,6,-69.5,18.62,wedde,6/18/2021
D30A,37,11,-69.19,15.82,wedde,6/18/2021
D30B,10,5,-69.57,17.84,wedde,6/18/2021
A23A,40,34,-75.52,-39.71,belle,6/25/2021
A63,11,3,-66.43,-56.74,belle,6/25/2021
A64,11,8,-67.62,-61.22,belle,6/25/2021
A69A,10,9,-67.46,-60.95,belle,6/25/2021
A69B,10,7,-67.15,-60.44,belle,6/25/2021
A70,8,5,-68.31,-60.7,belle,6/25/2021
A74,30,18,-75.24,-26.47,weddw,6/25/2021
A76A,73,14,-74.96,-58.79,belle,6/25/2021
A76B,20,7,-74.61,-58.2,belle,6/25/2021
A76C,16,7,-74.58,-56.48,belle,6/25/2021
B09B,24,8,-66.27,143.4,wilke,6/25/2021
B09G,11,7,-68.2,41.8,amerw,6/25/2021
B09I,12,6,-65.01,-45.43,belle,6/25/2021
B15AB,11,4,-66.08,50.94,amerw (grounded),6/25/2021
B22A,38,24,-73.9,-109.37,amune (grounded),6/25/2021
B28,9,6,-74.66,-108.76,amune (grounded),6/25/2021
B29,11,5,-74.49,-108.9,amune (grounded),6/25/2021
B37,8,3,-72.41,-112.6,amune,6/25/2021
B38,6,4,-77.01,-155.06,rosse (grounded),6/25/2021
B39,8,4,-69.03,14.29,wedde,6/25/2021
B40,6,5,-65.63,132.16,wilke (grounded),6/25/2021
B42,12,4,-74.5,-140.69,amunw,6/25/2021
B45,7,6,-74.68,-109.34,amune (grounded),6/25/2021
B46,10,4,-72.75,-114.33,amune,6/25/2021
B47,12,5,-73.81,-133.79,amunw (grounded),6/25/2021
B50,15,6,-75.73,-154.35,rosse,6/25/2021
C15,12,8,-65.97,143.27,wilke,6/25/2021
C18B,19,4,-66.59,89.55,amere (grounded),6/25/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),6/25/2021
C24,11,2,-64.84,96.02,wilkw (grounded),6/25/2021
C29,5,5,-66.08,142.83,wilke,6/25/2021
C30,9,3,-64.78,96.3,wilkw (grounded),6/25/2021
C31,9,3,-64.68,96.51,wilkw (grounded),6/25/2021
C33,8,4,-65.43,126.62,wilke (grounded),6/25/2021
C35,7,5,-67.32,147.87,wilke,6/25/2021
C36,22,15,-67.94,147.48,wilke (grounded),6/25/2021
D15A,51,24,-66.64,81.91,amere (grounded),6/25/2021
D15B,33,12,-66.99,81.58,amere (grounded),6/25/2021
D20A,19,9,-68.42,36.2,amerw,6/25/2021
D23,8,6,-69.43,74.68,amere (grounded),6/25/2021
D26,19,2,-69.36,29.4,wedde (grounded),6/25/2021
D27,8,5,-65.83,51,amerw,6/25/2021
D28,29,19,-69.08,15.52,wedde,6/25/2021
D29A,15,9,-69.58,17.86,wedde,6/25/2021
D29B,13,7,-69.72,18.7,wedde,6/25/2021
D29C,13,6,-68.86,15.34,wedde,6/25/2021
D30A,37,11,-69.11,13.07,wedde,6/25/2021
D30B,10,5,-69.48,16.85,wedde,6/25/2021
A23A,40,34,-75.51,-39.68,belle,7/2/2021
A63,11,3,-66.33,-56.79,belle,7/2/2021
A64,11,8,-67.56,-61.2,belle,7/2/2021
A69A,10,9,-67.43,-60.82,belle,7/2/2021
A69B,10,7,-67.13,-60.4,belle,7/2/2021
A70,8,5,-68.21,-60.75,belle,7/2/2021
A74,30,18,-75.27,-26.78,weddw,7/2/2021
A76A,73,14,-74.88,-58.82,belle,7/2/2021
A76B,20,7,-74.44,-58.44,belle,7/2/2021
A76C,16,7,-74.41,-56.65,belle,7/2/2021
B09B,24,8,-66.27,143.4,wilke,7/2/2021
B09G,11,7,-68.2,41.8,amerw,7/2/2021
B09I,12,6,-64.75,-44.92,belle,7/2/2021
B15AB,11,4,-66.08,50.94,amerw (grounded),7/2/2021
B22A,38,24,-73.9,-109.37,amune (grounded),7/2/2021
B28,9,6,-74.66,-108.76,amune (grounded),7/2/2021
B29,11,5,-74.49,-108.9,amune (grounded),7/2/2021
B37,8,3,-72.38,-112.74,amune,7/2/2021
B38,6,4,-77.01,-155.06,rosse (grounded),7/2/2021
B39,8,4,-68.8,12.48,wedde,7/2/2021
B40,6,5,-65.63,132.16,wilke (grounded),7/2/2021
B42,12,4,-74.51,-140.93,amunw,7/2/2021
B45,7,6,-74.68,-109.34,amune (grounded),7/2/2021
B46,10,4,-72.47,-115.37,amune,7/2/2021
B47,12,5,-73.81,-133.81,amunw (grounded),7/2/2021
B50,15,6,-75.67,-154.72,rosse,7/2/2021
C15,12,8,-65.97,143.27,wilke,7/2/2021
C18B,19,4,-66.59,89.55,amere (grounded),7/2/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),7/2/2021
C24,11,2,-64.84,96.02,wilkw (grounded),7/2/2021
C29,5,5,-66.08,142.83,wilke,7/2/2021
C30,9,3,-64.78,96.3,wilkw (grounded),7/2/2021
C31,9,3,-64.68,96.51,wilkw (grounded),7/2/2021
C33,8,4,-65.43,126.62,wilke (grounded),7/2/2021
C35,7,5,-67.33,147.73,wilke,7/2/2021
C36,22,15,-67.94,147.48,wilke (grounded),7/2/2021
D15A,51,24,-66.64,81.91,amere (grounded),7/2/2021
D15B,33,12,-66.99,81.58,amere (grounded),7/2/2021
D20A,19,9,-68.42,36.2,amerw,7/2/2021
D23,8,6,-69.43,74.68,amere (grounded),7/2/2021
D26,19,2,-69.36,29.4,wedde (grounded),7/2/2021
D27,8,5,-66.04,50.31,amerw,7/2/2021
D28,29,19,-69.1,13.5,wedde,7/2/2021
D29A,15,9,-69.45,16.83,wedde,7/2/2021
D29B,13,7,-69.53,17.49,wedde,7/2/2021
D29C,13,6,-69.1,12.84,wedde,7/2/2021
D30A,37,11,-69.07,11.52,wedde,7/2/2021
D30B,10,5,-69.23,15.73,wedde,7/2/2021
A23A,40,34,-75.49,-39.81,belle,7/9/2021
A63,11,3,-66.12,-56.53,belle,7/9/2021
A64,11,8,-67.54,-61.17,belle,7/9/2021
A69A,10,9,-67.42,-60.78,belle,7/9/2021
A69B,10,7,-67.12,-60.38,belle,7/9/2021
A70,8,5,-68.13,-60.73,belle,7/9/2021
A74,30,18,-75.26,-26.8,weddw,7/9/2021
A76A,73,14,-74.79,-58.93,belle,7/9/2021
A76B,20,7,-74.3,-58.9,belle,7/9/2021
A76C,16,7,-74.3,-56.94,belle,7/9/2021
B09B,24,8,-66.27,143.4,wilke,7/9/2021
B09G,11,7,-68.2,41.8,amerw,7/9/2021
B09I,12,6,-64.78,-45.08,belle,7/9/2021
B15AB,11,4,-66.08,50.94,amerw (grounded),7/9/2021
B22A,38,24,-73.9,-109.37,amune (grounded),7/9/2021
B28,9,6,-74.66,-108.76,amune (grounded),7/9/2021
B29,11,5,-74.49,-108.9,amune (grounded),7/9/2021
B37,8,3,-72.23,-113.6,amune,7/9/2021
B38,6,4,-77.01,-155.06,rosse (grounded),7/9/2021
B39,8,4,-69,11.15,wedde,7/9/2021
B40,6,5,-65.63,132.16,wilke (grounded),7/9/2021
B42,12,4,-74.5,-141.56,amunw,7/9/2021
B45,7,6,-74.68,-109.34,amune (grounded),7/9/2021
B46,10,4,-72.14,-117.04,amune,7/9/2021
B47,12,5,-73.81,-133.81,amunw (grounded),7/9/2021
B50,15,6,-75.66,-155.73,rosse,7/9/2021
C15,12,8,-65.97,143.27,wilke,7/9/2021
C18B,19,4,-66.59,89.55,amere (grounded),7/9/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),7/9/2021
C24,11,2,-64.84,96.02,wilkw (grounded),7/9/2021
C29,5,5,-66.08,142.83,wilke,7/9/2021
C30,9,3,-64.78,96.3,wilkw (grounded),7/9/2021
C31,9,3,-64.68,96.51,wilkw (grounded),7/9/2021
C33,8,4,-65.43,126.62,wilke (grounded),7/9/2021
C35,7,5,-67.34,147.94,wilke,7/9/2021
C36,22,15,-67.94,147.48,wilke (grounded),7/9/2021
D15A,51,24,-66.64,81.91,amere (grounded),7/9/2021
D15B,33,12,-66.99,81.58,amere (grounded),7/9/2021
D20A,19,9,-68.39,36.21,amerw,7/9/2021
D23,8,6,-69.43,74.68,amere (grounded),7/9/2021
D26,19,2,-69.36,29.4,wedde (grounded),7/9/2021
D27,8,5,-66.15,49.13,amerw,7/9/2021
D28,29,19,-69.08,12.31,wedde,7/9/2021
D29A,15,9,-69.37,16.31,wedde,7/9/2021
D29B,13,7,-69.26,16.52,wedde,7/9/2021
D29C,13,6,-69.2,11.62,wedde,7/9/2021
D30A,37,11,-69.48,10.08,wedde,7/9/2021
D30B,10,5,-69.13,13.85,wedde,7/9/2021
A23A,40,34,-75.47,-39.65,belle,7/16/2021
A63,11,3,-65.87,-56.73,belle,7/16/2021
A64,11,8,-67.52,-61.16,belle,7/16/2021
A69A,10,9,-67.39,-60.75,belle,7/16/2021
A69B,10,7,-67.1,-60.32,belle,7/16/2021
A70,8,5,-68.06,-60.75,belle,7/16/2021
A74,30,18,-75.24,-26.74,weddw,7/16/2021
A76A,73,14,-74.7,-58.91,belle,7/16/2021
A76B,20,7,-74.13,-59.2,belle,7/16/2021
A76C,16,7,-74.14,-57.01,belle,7/16/2021
B09B,24,8,-66.27,143.4,wilke,7/16/2021
B09G,11,7,-68.2,41.8,amerw,7/16/2021
B09I,12,6,-64.78,-45.58,belle,7/16/2021
B15AB,11,4,-66.08,50.94,amerw (grounded),7/16/2021
B22A,38,24,-73.9,-109.37,amune (grounded),7/16/2021
B28,9,6,-74.66,-108.76,amune (grounded),7/16/2021
B29,11,5,-74.49,-108.9,amune (grounded),7/16/2021
B37,8,3,-72.23,-113.6,amune,7/16/2021
B38,6,4,-77.01,-155.06,rosse (grounded),7/16/2021
B39,8,4,-69.2,9.54,wedde,7/16/2021
B40,6,5,-65.63,132.16,wilke (grounded),7/16/2021
B42,12,4,-74.53,-141.79,amunw,7/16/2021
B45,7,6,-74.68,-109.34,amune (grounded),7/16/2021
B46,10,4,-72.22,-118.54,amune,7/16/2021
B47,12,5,-73.81,-133.81,amunw (grounded),7/16/2021
B50,15,6,-75.68,-156.85,rosse,7/16/2021
C15,12,8,-65.97,143.27,wilke,7/16/2021
C18B,19,4,-66.59,89.55,amere (grounded),7/16/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),7/16/2021
C24,11,2,-64.84,96.02,wilkw (grounded),7/16/2021
C29,5,5,-66.08,142.83,wilke,7/16/2021
C30,9,3,-64.78,96.3,wilkw (grounded),7/16/2021
C31,9,3,-64.68,96.51,wilkw (grounded),7/16/2021
C33,8,4,-65.43,126.61,wilke (grounded),7/16/2021
C35,7,5,-67.32,147.96,wilke,7/16/2021
C36,22,15,-67.94,147.48,wilke (grounded),7/16/2021
D15A,51,24,-66.64,81.91,amere (grounded),7/16/2021
D15B,33,12,-66.99,81.58,amere (grounded),7/16/2021
D20A,19,9,-68.39,36.21,amerw,7/16/2021
D23,8,6,-69.43,74.68,amere (grounded),7/16/2021
D26,19,2,-69.36,29.4,wedde (grounded),7/16/2021
D27,8,5,-66.27,49.47,amerw,7/16/2021
D28,29,19,-69.25,11.38,wedde,7/16/2021
D29A,15,9,-69.27,16.01,wedde,7/16/2021
D29B,13,7,-69.1,13.67,wedde,7/16/2021
D29C,13,6,-69.48,10.46,wedde,7/16/2021
D30A,37,11,-69.57,8.5,wedde,7/16/2021
D30B,10,5,-69.11,12.32,wedde,7/16/2021
A23A,40,34,-75.45,-39.74,belle,7/23/2021
A63,11,3,-65.36,-56.56,belle,7/23/2021
A64,11,8,-67.51,-61.16,belle,7/23/2021
A69A,10,9,-67.38,-60.75,belle,7/23/2021
A69B,10,7,-67.09,-60.31,belle,7/23/2021
A70,8,5,-68.04,-60.77,belle,7/23/2021
A74,30,18,-75.23,-26.78,weddw,7/23/2021
A76A,73,14,-74.51,-59.03,belle,7/23/2021
A76B,20,7,-73.91,-59.97,belle,7/23/2021
A76C,16,7,-73.85,-57.29,belle,7/23/2021
B09B,24,8,-66.27,143.4,wilke,7/23/2021
B09G,11,7,-68.2,41.8,amerw,7/23/2021
B09I,12,6,-64.66,-45.09,belle,7/23/2021
B15AB,11,4,-66.08,50.94,amerw (grounded),7/23/2021
B22A,38,24,-73.89,-109.39,amune (grounded),7/23/2021
B28,9,6,-74.65,-108.77,amune (grounded),7/23/2021
B29,11,5,-74.48,-108.92,amune (grounded),7/23/2021
B37,8,3,-72.23,-113.6,amune,7/23/2021
B38,6,4,-77.01,-155.06,rosse (grounded),7/23/2021
B39,8,4,-69.34,7.51,wedde,7/23/2021
B40,6,5,-65.63,132.14,wilke (grounded),7/23/2021
B42,12,4,-74.53,-141.79,amunw,7/23/2021
B45,7,6,-74.67,-109.32,amune (grounded),7/23/2021
B46,10,4,-72.47,-120.26,amune,7/23/2021
B47,12,5,-73.81,-133.81,amunw (grounded),7/23/2021
B50,15,6,-75.84,-159.28,rosse,7/23/2021
C15,12,8,-65.97,143.27,wilke,7/23/2021
C18B,19,4,-66.59,89.55,amere (grounded),7/23/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),7/23/2021
C24,11,2,-64.84,96.02,wilkw (grounded),7/23/2021
C29,5,5,-66.08,142.83,wilke,7/23/2021
C30,9,3,-64.78,96.3,wilkw (grounded),7/23/2021
C31,9,3,-64.68,96.51,wilkw (grounded),7/23/2021
C33,8,4,-65.43,126.61,wilke (grounded),7/23/2021
C35,7,5,-67.31,147.96,wilke,7/23/2021
C36,22,15,-67.94,147.48,wilke (grounded),7/23/2021
D15A,51,24,-66.64,81.91,amere (grounded),7/23/2021
D15B,33,12,-66.99,81.58,amere (grounded),7/23/2021
D20A,19,9,-68.36,36.2,amerw,7/23/2021
D23,8,6,-69.43,74.68,amere (grounded),7/23/2021
D26,19,2,-69.36,29.4,wedde (grounded),7/23/2021
D27,8,5,-66.48,48.07,amerw,7/23/2021
D28,29,19,-69.55,10.46,wedde,7/23/2021
D29A,15,9,-69.2,13.54,wedde,7/23/2021
D29B,13,7,-69.21,12.86,wedde,7/23/2021
D29C,13,6,-69.61,8.42,wedde,7/23/2021
D30A,37,11,-69.74,6.26,wedde,7/23/2021
D30B,10,5,-69.27,11.2,wedde,7/23/2021
A23A,40,34,-75.44,-39.57,belle,7/30/2021
A63,11,3,-65.35,-56.49,belle,7/30/2021
A64,11,8,-67.54,-61.15,belle,7/30/2021
A69A,10,9,-67.4,-60.74,belle,7/30/2021
A69B,10,7,-67.11,-60.36,belle,7/30/2021
A70,8,5,-68.05,-60.73,belle,7/30/2021
A74,30,18,-75.2,-26.83,weddw,7/30/2021
A76A,73,14,-74.48,-59.28,belle,7/30/2021
A76B,20,7,-73.97,-60.08,belle,7/30/2021
A76C,16,7,-73.9,-57.26,belle,7/30/2021
B09B,24,8,-66.27,143.4,wilke,7/30/2021
B09G,11,7,-68.2,41.8,amerw,7/30/2021
B09I,12,6,-64.36,-44.7,belle,7/30/2021
B15AB,11,4,-66.08,50.94,amerw (grounded),7/30/2021
B22A,38,24,-73.89,-109.4,amune (grounded),7/30/2021
B28,9,6,-74.65,-108.77,amune (grounded),7/30/2021
B29,11,5,-74.48,-108.92,amune (grounded),7/30/2021
B37,8,3,-72.23,-113.6,amune,7/30/2021
B38,6,4,-77.01,-155.06,rosse (grounded),7/30/2021
B39,8,4,-69.65,3.23,wedde,7/30/2021
B40,6,5,-65.63,132.14,wilke (grounded),7/30/2021
B42,12,4,-74.43,-141.56,amunw,7/30/2021
B45,7,6,-74.67,-109.32,amune (grounded),7/30/2021
B46,10,4,-72.39,-121.97,amune,7/30/2021
B47,12,5,-73.78,-133.76,amunw (grounded),7/30/2021
B50,15,6,-75.75,-160.6,rosse,7/30/2021
C15,12,8,-65.97,143.27,wilke,7/30/2021
C18B,19,4,-66.59,89.55,amere (grounded),7/30/2021
C21B,11,8,-64.98,95.85,wilkw (grounded),7/30/2021
C24,11,2,-64.84,96.02,wilkw (grounded),7/30/2021
C29,5,5,-66.08,142.83,wilke,7/30/2021
C30,9,3,-64.78,96.3,wilkw (grounded),7/30/2021
C31,9,3,-64.68,96.51,wilkw (grounded),7/30/2021
C33,8,4,-65.43,126.61,wilke (grounded),7/30/2021
C35,7,5,-67.3,147.94,wilke,7/30/2021
C36,22,15,-67.94,147.48,wilke (grounded),7/30/2021
D15A,51,24,-66.64,81.91,amere (grounded),7/30/2021
D15B,33,12,-66.99,81.58,amere (grounded),7/30/2021
D20A,19,9,-68.31,36.15,amerw,7/30/2021
D23,8,6,-69.43,74.68,amere (grounded),7/30/2021
D26,19,2,-69.4,29.32,wedde (grounded),7/30/2021
D27,8,5,-66.67,47.31,amerw,7/30/2021
D28,29,19,-69.52,8.37,wedde,7/30/2021
D29A,15,9,-69.62,11.1,wedde,7/30/2021
D29B,13,7,-69.74,10.57,wedde,7/30/2021
D29C,13,6,-69.92,7.29,wedde,7/30/2021
D30A,37,11,-69.89,3.58,wedde,7/30/2021
D30B,10,5,-69.19,8.29,wedde,7/30/2021
A23A,40,34,-75.44,-39.57,belle,8/6/2021
A63,11,3,-65.16,-56.19,belle,8/6/2021
